yaw_encoder,data,dt
54.0,2021-04-26 19:21:01.116794,97.79344800000005
54.0,2021-04-26 19:21:01.316350,97.99300600000005
54.0,2021-04-26 19:21:01.515918,98.19256200000005
54.0,2021-04-26 19:21:01.715430,98.39208800000006
54.0,2021-04-26 19:21:01.914995,98.59165200000005
54.0,2021-04-26 19:21:02.114522,98.79117900000006
54.0,2021-04-26 19:21:02.314173,98.99082900000006
54.0,2021-04-26 19:21:02.517587,99.19424500000007
54.0,2021-04-26 19:21:02.717150,99.39380500000007
54.0,2021-04-26 19:21:02.916687,99.59333900000007
63.0,2021-04-26 19:21:03.116264,99.79292000000007
63.0,2021-04-26 19:21:03.315812,99.99246800000006
63.0,2021-04-26 19:21:03.517681,100.19433700000006
63.0,2021-04-26 19:21:03.714909,100.39156300000006
63.0,2021-04-26 19:21:03.914466,100.59112200000006
63.0,2021-04-26 19:21:04.114010,100.79066700000006
63.0,2021-04-26 19:21:04.321775,100.99842900000006
63.0,2021-04-26 19:21:04.517102,101.19375800000006
63.0,2021-04-26 19:21:04.718021,101.39467500000006
63.0,2021-04-26 19:21:04.916155,101.59281000000006
63.0,2021-04-26 19:21:05.117759,101.79441700000005
63.0,2021-04-26 19:21:05.317833,101.99449000000006
72.0,2021-04-26 19:21:05.514866,102.19152400000006
72.0,2021-04-26 19:21:05.714347,102.39100200000006
