X_k,Y_k,Altura,Orientacao_k,Tempo
20.89987322690138,-300.7940520078633,-36.09060668945313,-176.4628846078506,1607527723.077051
20.79744234681305,-300.80073826889407,-36.09280395507813,-176.46232035411296,1607527723.280669
20.646841058307608,-300.8103838919516,-36.09858703613281,-176.4710420142394,1607527723.4815314
20.480900492150695,-300.8248754881237,-36.10324478149414,-176.48478420471397,1607527723.6824179
20.14050443221252,-300.85798542189326,-36.0804557800293,-176.52095269353995,1607527724.2887516
19.95613820086569,-300.8772713282165,-36.07790756225586,-176.519240574684,1607527724.4896946
19.815456175955042,-300.89218224914237,-36.075462341308594,-176.45177142926457,1607527724.6918688
19.6822547348638,-300.9049316909328,-36.07849502563477,-176.4197914527902,1607527724.8929186
19.560565418269142,-300.91557297992307,-36.08177947998047,-176.42927307192295,1607527725.0937798
19.380233139521852,-300.9295395634144,-36.08764266967773,-176.45267030016453,1607527725.2946887
19.17195024364435,-300.94413502576435,-36.09407043457031,-176.45977527315475,1607527725.496241
18.972355412848266,-300.9578956271329,-36.09885025024414,-176.46041269889398,1607527725.697183
18.80936154422441,-300.96890428381346,-36.10005187988281,-176.45687365923743,1607527725.8980727
18.504153808956556,-300.98817907602285,-36.07428741455078,-176.4880982179868,1607527726.299364
18.28838299418443,-301.0011996616814,-36.074989318847656,-176.47885239736965,1607527726.500072
18.145699405479142,-301.00953032314493,-36.07183456420898,-176.42236592893974,1607527726.7007618
18.025741190115518,-301.0166354199866,-36.0738525390625,-176.38431812566213,1607527726.9014664
17.88169719550594,-301.0244606295319,-36.07519912719727,-176.381606708149,1607527727.1022182
17.739809871604923,-301.0321459578425,-36.077430725097656,-176.39461337236224,1607527727.3028967
17.659174290315466,-301.0365149204831,-36.07820510864258,-176.3990431548225,1607527727.5039835
17.554498449180194,-301.04214450482874,-36.0801010131836,-176.41079263515175,1607527727.7046971
17.42866219523583,-301.0490854834423,-36.08234405517578,-176.408936198449,1607527727.9065528
17.317477840797444,-301.0556786295694,-36.083587646484375,-176.4117592747997,1607527728.1073349
17.179864204861175,-301.06413817096586,-36.08636474609375,-176.4159872201068,1607527728.3099153
16.98561856723198,-301.0761208860986,-36.091407775878906,-176.40925403181353,1607527728.5106332
16.756153329777426,-301.0883365407187,-36.09589385986328,-176.40378409794144,1607527728.711392
16.57797190692928,-301.09762342621997,-36.09810256958008,-176.39805278446764,1607527728.9121244
16.357820715258757,-301.10941291436586,-36.101322174072266,-176.39333652395723,1607527729.1128926
16.02725088987717,-301.12796746902666,-36.07257080078125,-176.42330062499326,1607527729.7179234
15.817958768078896,-301.1398642078975,-36.072940826416016,-176.39635631043396,1607527729.9188685
15.63147990505117,-301.1503872632607,-36.06784057617188,-176.3301692145328,1607527730.1195815
15.488919391732452,-301.15870699806607,-36.06842041015625,-176.30748243101974,1607527730.3202932
15.38857578188584,-301.1647894326668,-36.068946838378906,-176.30518305185205,1607527730.5209947
15.268208910179938,-301.17205427189026,-36.06943893432617,-176.31507766311967,1607527730.7216768
15.07427793265328,-301.1838824258079,-36.06981658935547,-176.33357868688674,1607527730.9223762
14.887932790868405,-301.1952091636736,-36.07023620605469,-176.33564528093308,1607527731.1231346
14.727495479157225,-301.2054201935237,-36.07036972045898,-176.34004911662748,1607527731.323907
14.547881178590126,-301.2170345681854,-36.07139587402344,-176.33927584582693,1607527731.5255632
14.38748686937635,-301.22761951812265,-36.072608947753906,-176.34199830766386,1607527731.726093
14.20922281361141,-301.2393955784491,-36.07437515258789,-176.33972145570462,1607527731.927876
14.013690666572119,-301.25272053469087,-36.076019287109375,-176.3496402553385,1607527732.1286235
13.848436934940203,-301.2642795039603,-36.07637405395508,-176.35442219303476,1607527732.329367
13.629166820093637,-301.2793510461489,-36.07729721069336,-176.35708740477273,1607527732.5304215
13.428583955796825,-301.292463614211,-36.07796096801758,-176.35504978096287,1607527732.7311945
13.260845214677444,-301.30322474419427,-36.0784797668457,-176.35342079609433,1607527732.9319913
13.10574199096184,-301.31320087015706,-36.07923889160156,-176.3506295612926,1607527733.1327386
12.91703837820036,-301.3236127263863,-36.07978439331055,-176.3359106363744,1607527733.3334627
12.734347313718756,-301.33322911083997,-36.08028411865234,-176.32170101154486,1607527733.5358605
12.56170997306946,-301.34269253931683,-36.08076477050781,-176.31872544448433,1607527733.736683
12.40382855939557,-301.3515128558927,-36.0809211730957,-176.31634449429475,1607527733.9392548
12.225782875164382,-301.3618604502313,-36.08185195922852,-176.3123332026453,1607527734.1399972
12.06600010154159,-301.3713957061254,-36.08275604248047,-176.30848171055356,1607527734.3407779
11.949981914935497,-301.3784328118819,-36.08333587646485,-176.3045727392077,1607527734.5416512
11.778431275952073,-301.38826902840145,-36.08450317382813,-176.30008675188054,1607527734.7423933
11.593663202450522,-301.398005034261,-36.08385467529297,-176.29084996923305,1607527734.9431293
11.46159329101879,-301.4049113497752,-36.08375930786133,-176.28305468713157,1607527735.1438992
11.322213212492663,-301.4122645526985,-36.07263946533203,-176.30573525766073,1607527735.344705
11.152472156048317,-301.42156137607327,-36.05305862426758,-176.33919781830298,1607527735.545398
11.031319960983073,-301.42818677340233,-36.05735778808594,-176.33322074249605,1607527735.746067
10.904121246531897,-301.43530064882316,-36.05222702026367,-176.31617575584843,1607527735.9467876
10.774628881073761,-301.44275199347663,-36.05088806152344,-176.2956433237644,1607527736.147518
10.642039547851232,-301.4507849015197,-36.04975891113281,-176.28565320454263,1607527736.3482769
10.505875480255598,-301.45903994701087,-36.04792785644531,-176.28870833950054,1607527736.5490072
10.313674718412104,-301.4704918900455,-36.04702758789063,-176.29442049008702,1607527736.7498367
10.151955002550208,-301.4801094733964,-36.04563903808594,-176.2952219275118,1607527736.9505045
10.03753041688116,-301.48710258184104,-36.044288635253906,-176.29475600233658,1607527737.151266
9.9056329010124,-301.49514906823254,-36.04255676269531,-176.29401025364305,1607527737.352014
9.766574472695332,-301.50356018739564,-36.04145812988281,-176.2870808337811,1607527737.5529122
